,Date,Open,High,Low,Close,Volume,Adj Close
0,2018年9月12日,860,864,851,860,3810000,860
1,2018年9月11日,868,868,855,862,4133000,862
2,2018年9月10日,865,868,855,861,4440000,861
3,2018年9月7日,875,882,868,877,2652000,877
4,2018年9月6日,875,890,864,882,3991000,882
5,2018年9月5日,879,882,872,879,2626000,879
6,2018年9月4日,886,888,876,879,2273000,879
7,2018年9月3日,905,907,885,885,3074000,885
8,2018年8月31日,888,899,882,895,3047000,895
9,2018年8月30日,899,902,889,891,3027000,891
10,2018年8月29日,886,909,886,893,4856000,893
11,2018年8月28日,879,889,879,882,2848000,882
12,2018年8月27日,868,876,866,875,2346000,875
13,2018年8月24日,862,866,853,864,4114000,864
14,2018年8月23日,875,878,864,864,2950000,864
15,2018年8月22日,855,879,855,878,4227000,878
16,2018年8月21日,844,853,834,850,3178000,850
17,2018年8月20日,865,868,854,857,2315000,857
18,2018年8月17日,855,868,848,863,3567000,863
19,2018年8月16日,843,848,830,845,3794000,845
0,2018年8月15日,860,865,849,858,3798000,858
1,2018年8月14日,836,853,830,853,3347000,853
2,2018年8月13日,849,849,830,836,2925000,836
3,2018年8月10日,867,867,852,854,3437000,854
4,2018年8月9日,863,868,858,863,2292000,863
5,2018年8月8日,856,874,855,861,4790000,861
6,2018年8月7日,840,853,837,849,3054000,849
7,2018年8月6日,838,853,837,840,4040000,840
8,2018年8月3日,829,839,827,838,3706000,838
9,2018年8月2日,831,842,819,828,3740000,828
10,2018年8月1日,833,839,832,832,2778000,832
11,2018年7月31日,816,827,807,822,4272000,822
12,2018年7月30日,837,839,820,831,4080000,831
13,2018年7月27日,816,845,815,833,9544000,833
14,2018年7月26日,799,799,774,786,6436000,786
15,2018年7月25日,792,800,791,798,2939000,798
16,2018年7月24日,775,789,770,788,4039000,788
17,2018年7月23日,778,785,772,773,3922000,773
18,2018年7月20日,798,800,778,789,4957000,789
19,2018年7月19日,803,811,796,799,4019000,799
0,2018年7月18日,805,811,795,797,3519000,797
1,2018年7月17日,816,817,789,795,6716000,795
2,2018年7月13日,838,842,821,822,4614000,822
3,2018年7月12日,833,836,824,830,3560000,830
4,2018年7月11日,831,838,821,831,3635000,831
5,2018年7月10日,837,848,836,840,3948000,840
6,2018年7月9日,814,827,812,826,2684000,826
7,2018年7月6日,801,818,800,814,2444000,814
8,2018年7月5日,800,810,795,797,3758000,797
9,2018年7月4日,822,822,802,805,3714000,805
10,2018年7月3日,833,833,817,828,3888000,828
11,2018年7月2日,842,852,828,831,4002000,831
12,2018年6月29日,837,846,834,844,3153000,844
13,2018年6月28日,839,844,832,839,3947000,839
14,2018年6月27日,838,844,830,839,3716000,839
15,2018年6月26日,838,845,830,840,4586000,840
16,2018年6月25日,854,858,847,849,3525000,849
17,2018年6月22日,841,852,838,851,2898000,851
18,2018年6月21日,847,856,840,851,3025000,851
19,2018年6月20日,841,849,823,848,4933000,848
0,2018年6月19日,847,854,838,842,4245000,842
1,2018年6月18日,853,854,841,851,4415000,851
2,2018年6月15日,860,861,842,857,6055000,857
3,2018年6月14日,849,856,845,854,7259000,854
4,2018年6月13日,832,841,831,840,3434000,840
5,2018年6月12日,834,837,823,827,4451000,827
6,2018年6月11日,827,827,816,825,3257000,825
7,2018年6月8日,829,840,823,824,4294000,824
8,2018年6月7日,827,836,826,835,4940000,835
9,2018年6月6日,813,822,812,818,3470000,818
10,2018年6月5日,827,834,812,816,4627000,816
11,2018年6月4日,810,819,809,816,4452000,816
12,2018年6月1日,779,808,773,795,5425000,795
13,2018年5月31日,780,784,770,777,7434000,777
14,2018年5月30日,778,779,760,773,4249000,773
15,2018年5月29日,796,801,787,799,2905000,799
16,2018年5月28日,783,799,779,797,2638000,797
17,2018年5月25日,787,796,784,791,3329000,791
18,2018年5月24日,806,810,785,787,4036000,787
19,2018年5月23日,801,805,789,796,2790000,796
0,2018年5月22日,813,815,802,807,2140000,807
1,2018年5月21日,804,811,802,809,2250000,809
2,2018年5月18日,794,805,792,802,2475000,802
3,2018年5月17日,790,797,786,793,2624000,793
4,2018年5月16日,789,795,787,793,2756000,793
5,2018年5月15日,793,795,786,794,2952000,794
6,2018年5月14日,788,792,780,791,2627000,791
7,2018年5月11日,791,791,781,790,3279000,790
8,2018年5月10日,775,789,773,788,3045000,788
9,2018年5月9日,779,781,773,780,3051000,780
10,2018年5月8日,779,779,763,777,4230000,777
11,2018年5月7日,791,791,771,784,3056000,784
12,2018年5月2日,779,785,772,784,3916000,784
13,2018年5月1日,774,781,769,771,3971000,771
14,2018年4月27日,750,792,750,784,10386000,784
15,2018年4月26日,738,743,731,731,4202000,731
16,2018年4月25日,734,739,730,733,3050000,733
17,2018年4月24日,734,743,730,741,2779000,741
18,2018年4月23日,734,741,723,725,2795000,725
19,2018年4月20日,725,731,719,726,2222000,726
0,2018年4月19日,725,739,722,726,3517000,726
1,2018年4月18日,712,721,707,719,4385000,719
2,2018年4月17日,730,730,713,716,2911000,716
3,2018年4月16日,739,741,728,731,3154000,731
4,2018年4月13日,721,732,720,731,2509000,731
5,2018年4月12日,725,730,711,715,4109000,715
6,2018年4月11日,725,730,721,721,2366000,721
7,2018年4月10日,705,719,697,717,4766000,717
8,2018年4月9日,711,719,705,714,3291000,714
9,2018年4月6日,722,731,716,716,4017000,716
10,2018年4月5日,716,726,714,723,3725000,723
11,2018年4月4日,718,722,709,709,3622000,709
12,2018年4月3日,709,718,708,715,2757000,715
13,2018年4月2日,724,732,723,723,1723000,723
14,2018年3月30日,727,730,719,724,3349000,724
15,2018年3月29日,735,738,712,719,3699000,719
16,2018年3月28日,719,727,716,726,5184000,726
17,2018年3月27日,716,743,715,740,6082000,740
18,2018年3月26日,688,702,685,701,5508000,701
19,2018年3月23日,710,713,695,698,9672000,698
0,2018年3月22日,744,747,734,744,5599000,744
1,2018年3月20日,743,753,734,752,3204000,752
2,2018年3月19日,762,769,754,758,2540000,758
